iter	Passed	Remaining
212	274	1014
213	275	1010
214	275	1006
215	276	1002
216	276	999
217	277	995
218	278	991
219	278	987
220	279	984
221	279	980
222	280	977
223	280	973
224	281	969
225	282	966
226	282	962
227	283	959
228	283	955
229	284	952
230	284	948
231	285	945
232	286	941
233	286	938
234	287	934
235	287	931
236	288	927
237	288	924
238	289	921
239	289	918
240	290	914
241	290	911
242	291	908
243	292	904
244	292	901
245	293	898
246	293	895
247	294	892
248	294	889
249	295	886
250	295	882
251	296	879
252	296	876
253	297	873
254	298	870
255	298	867
256	299	864
257	299	861
258	300	858
259	300	855
260	301	853
261	301	850
262	302	847
263	302	844
264	303	841
265	304	839
266	304	836
267	305	833
268	305	830
269	306	827
270	306	825
271	307	822
272	307	819
273	308	817
274	308	814
275	309	811
276	309	809
277	310	806
278	311	804
279	311	801
280	312	798
281	312	796
282	313	793
283	313	791
284	314	788
285	315	786
286	315	783
287	316	781
288	316	779
289	317	776
290	317	774
291	318	772
292	319	769
293	319	767
294	320	765
295	320	763
296	321	760
297	322	758
298	322	756
299	323	753
300	323	751
301	324	749
302	324	747
303	325	745
304	325	742
305	326	740
306	327	738
307	327	736
308	328	733
309	328	731
310	329	729
311	329	727
312	330	725
313	331	723
314	331	721
315	332	719
316	332	716
317	333	714
318	333	712
319	334	710
320	335	708
321	335	706
322	336	704
323	336	702
324	337	700
325	337	698
326	338	696
327	339	694
328	339	692
329	340	690
330	340	688
331	341	686
332	341	684
333	342	682
334	343	681
335	343	679
336	344	677
337	344	675
338	345	673
339	345	671
340	346	669
341	346	667
342	347	665
343	347	663
344	348	661
345	348	659
346	349	657
347	349	655
348	350	653
349	350	651
350	351	649
351	351	647
352	352	645
353	352	643
354	353	641
355	353	639
356	354	637
357	354	636
358	355	634
359	355	632
360	356	630
361	356	628
362	357	626
363	357	624
364	358	623
365	358	621
366	359	619
367	359	617
368	360	615
369	360	614
370	361	612
371	361	610
372	362	608
373	362	607
374	363	605
375	363	603
376	364	602
377	364	600
378	365	598
379	365	596
380	366	595
381	366	593
382	367	591
383	367	590
384	368	588
385	368	586
386	369	585
387	369	583
388	370	581
389	370	580
390	371	578
391	371	576
392	372	575
393	372	573
394	373	571
395	373	570
396	374	568
397	375	567
398	376	566
399	376	564
400	377	563
401	377	562
402	378	560
403	378	559
404	379	557
405	380	556
406	380	554
407	381	552
408	381	551
409	382	549
410	382	548
411	383	546
412	383	545
413	384	543
414	384	542
415	385	540
416	385	539
417	386	537
418	386	536
419	387	535
420	388	533
421	388	532
422	389	530
423	389	529
424	390	527
425	390	526
426	391	525
427	391	523
428	392	522
429	392	520
430	393	519
431	394	518
432	394	517
433	395	515
434	396	514
435	396	513
436	397	511
437	397	510
438	398	508
439	398	507
440	399	506
441	399	504
442	400	503
443	400	502
444	401	500
445	402	499
446	402	497
447	403	496
448	403	495
449	404	493
450	404	492
451	405	491
452	405	489
453	406	488
454	406	487
455	407	485
456	407	484
457	408	483
458	408	481
459	409	480
460	409	479
461	410	477
462	410	476
463	411	475
464	411	473
465	412	472
466	412	471
467	413	469
468	413	468
469	414	467
470	414	465
471	415	464
472	415	463
473	416	462
474	416	460
475	417	459
476	417	458
477	418	456
478	418	455
479	419	454
480	419	452
481	420	451
482	420	450
483	421	449
484	421	447
485	422	446
486	422	445
487	423	444
488	423	442
489	424	441
490	424	440
491	425	439
492	425	437
493	426	436
494	426	435
495	427	434
496	427	432
497	428	431
498	428	430
499	429	429
500	429	428
501	430	426
502	430	425
503	431	424
504	431	423
505	432	421
506	432	420
507	433	419
508	433	418
509	434	417
510	434	415
511	435	414
512	435	413
513	436	412
514	436	411
515	437	410
516	437	408
517	438	407
518	438	406
519	439	405
520	439	404
521	440	403
522	440	401
523	441	400
524	441	399
525	442	398
526	442	397
527	443	396
528	443	395
529	444	393
530	444	392
531	445	391
532	445	390
533	446	389
534	446	388
535	447	387
536	447	386
537	448	385
538	448	383
539	449	382
540	449	381
541	450	380
542	450	379
543	451	378
544	451	377
545	452	376
546	452	375
547	453	373
548	453	372
549	454	371
550	454	370
551	455	369
552	455	368
553	456	367
554	456	366
555	457	365
556	457	364
557	458	363
558	458	362
559	459	360
560	459	359
561	460	358
562	460	357
563	461	356
564	461	355
565	462	354
566	462	353
567	463	352
568	463	351
569	464	350
570	464	349
571	465	348
572	465	347
573	466	346
574	466	345
575	467	344
576	467	342
577	468	341
578	468	340
579	469	339
580	469	338
581	470	337
582	470	336
583	471	335
584	471	334
585	472	333
586	472	332
587	473	331
588	473	330
589	474	329
590	474	328
591	475	327
592	475	326
593	476	325
594	476	324
595	477	323
596	477	322
597	478	321
598	478	320
599	479	319
600	479	318
601	480	317
602	480	316
603	481	315
604	481	314
605	482	313
606	482	312
607	483	311
608	483	310
609	484	309
610	484	308
611	485	307
612	485	306
613	486	305
614	486	304
615	487	303
616	487	302
617	488	301
618	488	300
619	489	299
620	489	298
621	490	297
622	490	296
623	491	296
624	491	295
625	492	294
626	492	293
627	493	292
628	493	291
629	494	290
630	494	289
631	495	288
632	495	287
633	496	286
634	496	285
635	497	284
636	497	283
637	498	282
638	498	281
639	499	280
640	499	279
641	500	278
642	500	277
643	501	277
644	501	276
645	502	275
646	502	274
647	503	273
648	503	272
649	504	271
650	504	270
651	505	269
652	505	268
653	506	267
654	506	266
655	507	265
656	507	265
657	508	264
658	508	263
659	509	262
660	509	261
661	510	260
662	510	259
663	511	258
664	511	257
665	512	256
666	512	255
667	513	255
668	513	254
669	514	253
670	514	252
671	515	251
672	515	250
673	516	249
674	516	248
675	517	247
676	517	247
677	518	246
678	518	245
679	519	244
680	519	243
681	520	242
682	520	241
683	521	240
684	521	239
685	522	239
686	522	238
687	523	237
688	523	236
689	524	235
690	524	234
691	525	233
692	525	232
693	526	232
694	526	231
695	527	230
696	527	229
697	528	228
698	528	227
699	529	226
700	529	225
701	530	225
702	530	224
703	531	223
704	531	222
705	532	221
706	532	220
707	533	219
708	533	219
709	534	218
710	534	217
711	535	216
712	535	215
713	536	214
714	536	214
715	537	213
716	537	212
717	538	211
718	538	210
719	539	209
720	540	208
721	540	208
722	541	207
723	541	206
724	542	205
725	542	204
726	543	203
727	543	203
728	544	202
729	544	201
730	545	200
731	545	199
732	546	198
733	546	198
734	547	197
735	547	196
736	548	195
737	548	194
738	549	193
739	549	193
740	550	192
741	550	191
742	551	190
743	551	189
744	552	188
745	552	188
746	553	187
747	553	186
748	554	185
749	554	184
750	555	184
751	555	183
752	556	182
753	556	181
754	557	180
755	557	179
756	558	179
757	558	178
758	559	177
759	559	176
760	560	175
761	560	175
762	561	174
763	561	173
764	562	172
765	562	171
766	563	171
767	563	170
768	564	169
769	564	168
770	565	167
771	565	167
772	566	166
773	566	165
774	567	164
775	567	163
776	568	163
777	568	162
778	569	161
779	569	160
780	570	159
781	570	159
782	571	158
783	571	157
784	572	156
785	572	155
786	573	155
787	573	154
788	574	153
789	574	152
790	575	151
791	575	151
792	576	150
793	576	149
794	577	148
795	577	148
796	578	147
797	578	146
798	579	145
799	579	144
800	580	144
801	580	143
802	581	142
803	581	141
804	582	141
805	582	140
806	583	139
807	583	138
808	584	137
809	584	137
810	585	136
811	585	135
812	586	134
813	586	134
814	587	133
815	587	132
816	588	131
817	588	130
818	589	130
819	589	129
820	589	128
821	590	127
822	590	127
823	591	126
824	591	125
825	592	124
826	592	124
827	593	123
828	593	122
829	594	121
830	594	121
831	595	120
832	595	119
833	596	118
834	596	117
835	597	117
836	597	116
837	598	115
838	598	114
839	599	114
840	599	113
841	600	112
842	600	111
843	601	111
844	601	110
845	602	109
846	602	108
847	603	108
848	603	107
849	604	106
850	604	105
851	605	105
852	605	104
853	606	103
854	606	102
855	607	102
856	607	101
857	608	100
858	608	99
859	609	99
860	609	98
861	610	97
862	610	96
863	611	96
864	611	95
865	612	94
866	612	94
867	613	93
868	613	92
869	614	91
870	614	91
871	615	90
872	615	89
873	616	88
874	616	88
875	617	87
876	617	86
877	618	85
878	618	85
879	619	84
880	619	83
881	620	82
882	620	82
883	621	81
884	621	80
885	622	80
886	622	79
887	623	78
888	623	77
889	624	77
890	624	76
891	625	75
892	625	74
893	626	74
894	626	73
895	627	72
896	627	72
897	628	71
898	628	70
899	629	69
900	629	69
901	630	68
902	630	67
903	631	67
904	631	66
905	632	65
906	632	64
907	633	64
908	633	63
909	634	62
910	634	62
911	635	61
912	635	60
913	636	59
914	636	59
915	637	58
916	637	57
917	638	56
918	638	56
919	639	55
920	639	54
921	640	54
922	640	53
923	641	52
924	641	52
925	642	51
926	642	50
927	642	49
928	643	49
929	643	48
930	644	47
931	644	47
932	645	46
933	645	45
934	646	44
935	646	44
936	647	43
937	647	42
938	648	42
939	648	41
940	649	40
941	649	40
942	650	39
943	650	38
944	651	37
945	651	37
946	652	36
947	652	35
948	653	35
949	653	34
950	654	33
951	654	33
952	655	32
953	655	31
954	656	30
955	656	30
956	657	29
957	657	28
958	658	28
959	658	27
960	659	26
961	659	26
962	660	25
963	660	24
964	661	23
965	661	23
966	662	22
967	662	21
968	663	21
969	663	20
970	664	19
971	664	19
972	665	18
973	665	17
974	666	17
975	666	16
976	667	15
977	667	15
978	668	14
979	668	13
980	669	12
981	669	12
982	669	11
983	670	10
984	670	10
985	671	9
986	671	8
987	672	8
988	672	7
989	673	6
990	673	6
991	674	5
992	674	4
993	675	4
994	675	3
995	676	2
996	676	2
997	677	1
998	677	0
999	678	0
